LocationId,Name,Description,Location,Date,LineColor
1498770,PW-603,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9956300,40.4360000,0 -79.9956000,40.4359900,0</coordinates></LineString>",1/20/2015 10:14:41 AM,#838A00
1498767,PW-309,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9660500,40.4554400,0 -79.9660400,40.4556500,0 -79.9659400,40.4557600,0 -79.9658600,40.4558600,0 -79.9660800,40.4558600,0 -79.9670600,40.4558000,0 -79.9691400,40.4557100,0 -79.9701500,40.4565800,0</coordinates></LineString>",1/20/2015 10:14:48 AM,#838A00
1498775,PW-236,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9623700,40.4686600,0 -79.9612700,40.4694900,0 -79.9609100,40.4698000,0 -79.9606100,40.4702000,0 -79.9603400,40.4706200,0 -79.9602200,40.4708000,0</coordinates></LineString>",1/20/2015 10:14:48 AM,#838A00
1498771,PW-604,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0006500,40.4370900,0 -80.0001600,40.4377800,0 -79.9992800,40.4374500,0 -79.9987000,40.4372200,0 -79.9985900,40.4371700,0 -79.9984600,40.4370200,0 -79.9987400,40.4366200,0 -79.9991700,40.4360800,0 -79.9999800,40.4363700,0 -80.0025600,40.4373600,0</coordinates></LineString>",1/20/2015 10:14:52 AM,#838A00
1498758,PW-310,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9644000,40.4540900,0 -79.9645100,40.4540200,0 -79.9646400,40.4539100,0 -79.9646500,40.4538700,0 -79.9645900,40.4537700,0 -79.9645100,40.4536700,0 -79.9643800,40.4535700,0 -79.9643300,40.4535400,0 -79.9642900,40.4535100,0 -79.9642100,40.4535100,0 -79.9641000,40.4535600,0 -79.9639100,40.4536700,0 -79.9638400,40.4537000,0 -79.9637300,40.4536800,0 -79.9640700,40.4534500,0</coordinates></LineString>",1/20/2015 10:14:53 AM,#838A00
1498759,PW-105,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0092900,40.4844300,0 -80.0094600,40.4853900,0 -80.0096200,40.4861700,0 -80.0096600,40.4863700,0 -80.0097600,40.4863600,0 -80.0098600,40.4864200,0 -80.0102100,40.4868500,0 -80.0107000,40.4874200,0 -80.0108000,40.4875100,0 -80.0109600,40.4876100,0 -80.0111600,40.4877000,0 -80.0112800,40.4877400,0 -80.0119100,40.4878000,0 -80.0148000,40.4880200,0 -80.0150000,40.4880600,0 -80.0157400,40.4883800,0</coordinates></LineString>",1/20/2015 10:14:55 AM,#838A00
1498779,PW-503,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9980400,40.4291700,0 -79.9979300,40.4291800,0 -79.9976900,40.4291000,0 -79.9974800,40.4290200,0 -79.9970700,40.4288300,0 -79.9969700,40.4287800,0 -79.9969100,40.4287800,0 -79.9962200,40.4284600,0 -79.9959600,40.4283700,0 -79.9952700,40.4281900,0 -79.9946600,40.4279600,0 -79.9937400,40.4277400,0 -79.9934900,40.4277100,0 -79.9934400,40.4276100,0</coordinates></LineString>",1/20/2015 10:15:00 AM,#838A00
1498778,PW-418,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9813800,40.4288100,0 -79.9810500,40.4287800,0</coordinates></LineString>",1/20/2015 10:15:02 AM,#838A00
1498780,PW-477,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9921600,40.4143200,0 -79.9891400,40.4144000,0 -79.9880000,40.4144300,0 -79.9886600,40.4135000,0</coordinates></LineString>",1/20/2015 10:15:06 AM,#838A00
1498805,PW-101,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0254600,40.4694100,0 -80.0258700,40.4707200,0 -80.0259200,40.4709600,0 -80.0260300,40.4712500,0 -80.0261100,40.4713400,0 -80.0262900,40.4714400,0 -80.0268500,40.4716700,0 -80.0270500,40.4717700,0 -80.0273900,40.4720000,0 -80.0276700,40.4722400,0 -80.0286100,40.4734100,0 -80.0297700,40.4749000,0 -80.0299000,40.4750400,0 -80.0300700,40.4751700,0 -80.0303800,40.4753500,0</coordinates></LineString>",1/20/2015 10:15:07 AM,#838A00
1498777,PW-211,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.8885300,40.4544000,0 -79.8888100,40.4536600,0 -79.8891800,40.4527400,0 -79.8897500,40.4528600,0 -79.8898300,40.4528800,0</coordinates></LineString>",1/20/2015 10:15:13 AM,#838A00
1498781,PW-311,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9605400,40.4396200,0 -79.9608900,40.4393700,0</coordinates></LineString>",1/20/2015 10:15:14 AM,#838A00
1498793,PW-411,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9952700,40.4211900,0 -79.9952800,40.4212800,0 -79.9947500,40.4212800,0 -79.9937400,40.4213000,0 -79.9924600,40.4213100,0</coordinates></LineString>",1/20/2015 10:15:15 AM,#838A00
1498790,PW-96,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9379200,40.4430200,0 -79.9382100,40.4433600,0 -79.9388100,40.4439000,0 -79.9393500,40.4440100,0 -79.9408600,40.4442700,0 -79.9416300,40.4444000,0 -79.9421000,40.4444900,0 -79.9428900,40.4446200,0 -79.9430000,40.4446300,0 -79.9427700,40.4450300,0 -79.9426100,40.4453300,0 -79.9424100,40.4456700,0 -79.9423500,40.4457600,0</coordinates></LineString>",1/20/2015 10:15:18 AM,#838A00
1498783,PW-108,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0357700,40.4841400,0 -80.0366900,40.4863200,0</coordinates></LineString>",1/20/2015 10:15:22 AM,#838A00
1498791,PW-405,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9798100,40.3996000,0 -79.9797300,40.3994900,0 -79.9795000,40.3990100,0 -79.9793300,40.3985700,0 -79.9791400,40.3980100,0 -79.9790000,40.3977000,0 -79.9786400,40.3969700,0 -79.9780800,40.3969700,0 -79.9775100,40.3969400,0 -79.9771300,40.3969000,0 -79.9770900,40.3969000,0</coordinates></LineString>",1/20/2015 10:15:22 AM,#838A00
1498800,PW-512,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0466600,40.4398200,0 -80.0473300,40.4395700,0 -80.0473800,40.4396200,0 -80.0474100,40.4398200,0</coordinates></LineString>",1/20/2015 10:15:22 AM,#838A00
1498787,PW-10,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0186500,40.4897000,0 -80.0185000,40.4896200,0 -80.0183600,40.4895200,0 -80.0183200,40.4893900,0 -80.0181900,40.4892300,0 -80.0178200,40.4889600,0 -80.0177600,40.4889200,0</coordinates></LineString>",1/20/2015 10:15:24 AM,#838A00
1498797,PW-316,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9597600,40.4400100,0 -79.9598700,40.4400900,0 -79.9607200,40.4394800,0</coordinates></LineString>",1/20/2015 10:15:24 AM,#838A00
1498798,PW-413,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9872900,40.4125800,0 -79.9887600,40.4125400,0 -79.9892100,40.4127100,0 -79.9894300,40.4124000,0 -79.9894900,40.4122900,0</coordinates></LineString>",1/20/2015 10:15:27 AM,#838A00
1498802,PW-226,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9159700,40.4611000,0 -79.9158800,40.4608000,0 -79.9157700,40.4602600,0 -79.9157600,40.4601800,0 -79.9157500,40.4600100,0 -79.9157900,40.4598600,0 -79.9157100,40.4598300,0 -79.9131200,40.4588100,0 -79.9108400,40.4579300,0 -79.9107000,40.4578700,0</coordinates></LineString>",1/20/2015 10:15:27 AM,#838A00
1498803,PWC-25,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9059400,40.4561400,0 -79.9058800,40.4561200,0 -79.9058000,40.4560200,0 -79.9050400,40.4558500,0 -79.9048300,40.4561400,0 -79.9047400,40.4562600,0 -79.9063000,40.4566200,0</coordinates></LineString>",1/20/2015 10:15:27 AM,#838A00
1498801,PW-128,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0214000,40.4681200,0 -80.0240700,40.4675500,0 -80.0242100,40.4674900,0 -80.0245100,40.4673200,0 -80.0247000,40.4671700,0 -80.0248600,40.4672400,0 -80.0250400,40.4672400,0 -80.0251300,40.4678400,0 -80.0251400,40.4679300,0</coordinates></LineString>",1/20/2015 10:15:29 AM,#838A00
1498785,PW-212,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9753600,40.4570200,0 -79.9756000,40.4568600,0 -79.9760300,40.4572100,0 -79.9766000,40.4576900,0</coordinates></LineString>",1/20/2015 10:15:30 AM,#838A00
1498794,PW-216,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9186900,40.4646600,0 -79.9189500,40.4647800,0 -79.9197700,40.4651000,0 -79.9204100,40.4653200,0 -79.9218300,40.4658200,0 -79.9221500,40.4658900,0 -79.9227400,40.4660100,0 -79.9229900,40.4660300,0 -79.9233900,40.4661200,0 -79.9235800,40.4661600,0 -79.9242100,40.4663800,0 -79.9249400,40.4666400,0 -79.9262000,40.4670900,0</coordinates></LineString>",1/20/2015 10:15:31 AM,#838A00
1498792,PW-235,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9428300,40.4689100,0 -79.9422200,40.4687600,0 -79.9415700,40.4686600,0 -79.9415000,40.4686700,0 -79.9393000,40.4683500,0 -79.9386000,40.4682500,0</coordinates></LineString>",1/20/2015 10:15:32 AM,#838A00
1498795,PW-217,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9278000,40.4676500,0 -79.9281000,40.4677500,0 -79.9285400,40.4670300,0 -79.9295100,40.4654400,0</coordinates></LineString>",1/20/2015 10:15:38 AM,#838A00
1498788,PW-220,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9156600,40.4605300,0 -79.9157200,40.4608300,0 -79.9159000,40.4614500,0 -79.9159800,40.4616400,0 -79.9161100,40.4619400,0 -79.9163500,40.4623600,0 -79.9166900,40.4627900,0 -79.9169900,40.4631100,0 -79.9173600,40.4634700,0 -79.9181800,40.4642600,0 -79.9182800,40.4643500,0</coordinates></LineString>",1/20/2015 10:15:41 AM,#838A00
1498784,PW-501,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9934100,40.4277200,0 -79.9937400,40.4277400,0 -79.9944200,40.4279000,0 -79.9944700,40.4279100,0</coordinates></LineString>",1/20/2015 10:15:42 AM,#838A00
1498808,PW-309,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9701500,40.4565800,0 -79.9701100,40.4565400,0 -79.9706400,40.4564900,0 -79.9710600,40.4564100,0 -79.9714600,40.4563000,0 -79.9718400,40.4561700,0 -79.9723700,40.4559300,0 -79.9727300,40.4557300,0 -79.9728900,40.4556000,0 -79.9729900,40.4556400,0 -79.9730900,40.4557300,0 -79.9731300,40.4557700,0 -79.9736500,40.4562500,0 -79.9737800,40.4563600,0 -79.9739600,40.4564500,0 -79.9740800,40.4564700,0 -79.9742400,40.4564800,0 -79.9744100,40.4564300,0 -79.9747000,40.4562400,0</coordinates></LineString>",1/20/2015 10:15:49 AM,#838A00
1498809,PW-236,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9602200,40.4708000,0 -79.9592900,40.4721400,0 -79.9588300,40.4727700,0</coordinates></LineString>",1/20/2015 10:15:49 AM,#838A00
1498807,PW-209,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.8960800,40.4573500,0 -79.8941400,40.4569000,0 -79.8942600,40.4565700,0 -79.8943500,40.4563400,0</coordinates></LineString>",1/20/2015 10:15:50 AM,#838A00
1498810,PW-310,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9640700,40.4534500,0 -79.9649400,40.4528700,0 -79.9648300,40.4527800,0 -79.9645600,40.4525000,0 -79.9644300,40.4523700,0 -79.9643500,40.4522200,0 -79.9643300,40.4521500,0 -79.9643300,40.4520500,0 -79.9644100,40.4518500,0 -79.9647400,40.4512800,0 -79.9649600,40.4509400,0 -79.9652800,40.4503700,0 -79.9653300,40.4502100,0 -79.9653500,40.4500500,0 -79.9653200,40.4499000,0 -79.9651900,40.4495600,0</coordinates></LineString>",1/20/2015 10:15:53 AM,#838A00
1498813,PW-604,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0025600,40.4373600,0 -80.0045800,40.4381200,0 -80.0056800,40.4385200,0 -80.0057000,40.4386200,0 -80.0053900,40.4390500,0 -80.0050300,40.4396000,0 -80.0043200,40.4393300,0 -80.0036300,40.4390700,0 -80.0023900,40.4386200,0 -80.0019200,40.4384400,0 -80.0020900,40.4381800,0</coordinates></LineString>",1/20/2015 10:15:53 AM,#838A00
